Domain Name,Agency,Redirect?,Redirect Destination
http://www.acus.gov,Administrative Conference of the United States,false,
http://www.achp.gov,Advisory Council on Historic Preservation,false,
http://www.preserveamerica.gov,Advisory Council on Historic Preservation,false,
http://www.adf.gov,African Development Foundation,false,
http://www.usadf.gov,African Development Foundation,false,
http://www.abmc.gov,American Battle Monuments Commission,false,
http://www.amtrakoig.gov,AMTRAK,false,
http://www.arc.gov,Appalachian Regional Commission,false,
http://www.afrh.gov,Armed Forces Retirement Home,false,
http://www.cia.gov,Central Intelligence Agency,false,
http://www.ic.gov,Central Intelligence Agency,false,
http://www.id8.gov,Central Intelligence Agency,false,
http://www.nctc.gov,Central Intelligence Agency,false,
http://www.odci.gov,Central Intelligence Agency,false,
http://www.osde.gov,Central Intelligence Agency,false,
http://www.ttic.gov,Central Intelligence Agency,false,
http://www.ucia.gov,Central Intelligence Agency,false,
http://www.abilityone.fed.us,Comm for People Who Are Blind/Severly Disabled,false,
http://www.abilityone.gov,Comm for People Who Are Blind/Severly Disabled,false,
http://www.cftc.gov,Commodity Futures Trading Commission,false,
http://www.consumerfinance.gov,Consumer Financial Protection Bureau,false,
http://www.atvsafety.gov,Consumer Product Safety Commission,false,
http://www.cpsc.gov,Consumer Product Safety Commission,false,
http://www.poolsafely.gov,Consumer Product Safety Commission,false,
http://www.productsafety.gov,Consumer Product Safety Commission,false,
http://www.recall.gov,Consumer Product Safety Commission,false,
http://www.recalls.gov,Consumer Product Safety Commission,false,
http://www.safeproduct.gov,Consumer Product Safety Commission,false,
http://www.safeproducts.gov,Consumer Product Safety Commission,false,
http://www.saferproducts.gov,Consumer Product Safety Commission,false,
http://www.safesleep.gov,Consumer Product Safety Commission,false,
http://www.americorps.gov,Corporation for National & Community Service,false,
http://www.americorpsconnect.gov,Corporation for National & Community Service,false,
http://www.americorpsweek.gov,Corporation for National & Community Service,false,
http://www.cncsig.gov,Corporation for National & Community Service,false,
http://www.cncsoig.gov,Corporation for National & Community Service,false,
http://www.federalmentoringcouncil.gov,Corporation for National & Community Service,false,
http://www.getinvolved.gov,Corporation for National & Community Service,false,
http://www.learnandserve.gov,Corporation for National & Community Service,false,
http://www.mlkday.gov,Corporation for National & Community Service,false,
http://www.nationalservice.gov,Corporation for National & Community Service,false,
http://www.nationalservicegear.gov,Corporation for National & Community Service,false,
http://www.presidentialserviceawards.gov,Corporation for National & Community Service,false,
http://www.seniorcorps.gov,Corporation for National & Community Service,false,
http://www.serve.gov,Corporation for National & Community Service,false,
http://www.service.gov,Corporation for National & Community Service,false,
http://www.servicelearning.gov,Corporation for National & Community Service,false,
http://www.servir.gov,Corporation for National & Community Service,false,
http://www.vistacampus.gov,Corporation for National & Community Service,false,
